Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"4/01/24, 16:36:19",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '4' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:18",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '5' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:18",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '6' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:18",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '7' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:18",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '8' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:18",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '9' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:18",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '10' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:18",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '11' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:13",0221973140,-,Assignment: Homework Assignment 4,Assignment,The status of the submission has been viewed.,The user with id '26450' has viewed the submission status page for the assignment with course module id '333136'.,ws,78.141.159.87
"4/01/24, 16:36:13",0221973140,-,Assignment: Homework Assignment 4,Assignment,Course module viewed,The user with id '26450' viewed the 'assign' activity with course module id '333136'.,ws,78.141.159.87
"4/01/24, 16:36:12",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '12' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:11",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '11' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:11",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '10' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:10",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '9' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:10",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '8' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:10",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '7' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:10",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '6' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:09",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '5' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:09",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '4' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:35",0221973140,-,Assignment: Homework Assignment 1,Assignment,The status of the submission has been viewed.,The user with id '26450' has viewed the submission status page for the assignment with course module id '321684'.,ws,78.141.159.87
"4/01/24, 16:35:35",0221973140,-,Assignment: Homework Assignment 1,Assignment,Course module viewed,The user with id '26450' viewed the 'assign' activity with course module id '321684'.,ws,78.141.159.87
"4/01/24, 16:35:34",0221973140,-,Assignment: Homework Assignment 1,Assignment,Feedback viewed,The user with id '26450' viewed the feedback for the user with id '26450' for the assignment with course module id '321684'.,ws,78.141.159.87
"4/01/24, 16:35:33",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '3' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:32",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '4' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:29",0221973140,-,Assignment: Homework Assignment 2,Assignment,The status of the submission has been viewed.,The user with id '26450' has viewed the submission status page for the assignment with course module id '325124'.,ws,78.141.159.87
"4/01/24, 16:35:29",0221973140,-,Assignment: Homework Assignment 2,Assignment,Course module viewed,The user with id '26450' viewed the 'assign' activity with course module id '325124'.,ws,78.141.159.87
"4/01/24, 16:35:28",0221973140,-,Assignment: Homework Assignment 2,Assignment,Feedback viewed,The user with id '26450' viewed the feedback for the user with id '26450' for the assignment with course module id '325124'.,ws,78.141.159.87
"4/01/24, 16:35:27",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '5' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:26",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '6' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:26",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '7' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:25",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '8' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:21",0221973140,-,Assignment: Homework Assignment 3,Assignment,The status of the submission has been viewed.,The user with id '26450' has viewed the submission status page for the assignment with course module id '329712'.,ws,78.141.159.87
"4/01/24, 16:35:21",0221973140,-,Assignment: Homework Assignment 3,Assignment,Course module viewed,The user with id '26450' viewed the 'assign' activity with course module id '329712'.,ws,78.141.159.87
"4/01/24, 16:35:21",0221973140,-,Assignment: Homework Assignment 3,Assignment,Feedback viewed,The user with id '26450' viewed the feedback for the user with id '26450' for the assignment with course module id '329712'.,ws,78.141.159.87
"4/01/24, 16:35:20",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '9' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:19",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '10' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:35:18",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '11' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:34:44",0221973140,-,Assignment: Homework Assignment 4,Assignment,The status of the submission has been viewed.,The user with id '26450' has viewed the submission status page for the assignment with course module id '333136'.,ws,78.141.159.87
"4/01/24, 16:34:44",0221973140,-,Assignment: Homework Assignment 4,Assignment,Course module viewed,The user with id '26450' viewed the 'assign' activity with course module id '333136'.,ws,78.141.159.87
"4/01/24, 16:34:44",0221973140,-,Assignment: Homework Assignment 4,Assignment,Feedback viewed,The user with id '26450' viewed the feedback for the user with id '26450' for the assignment with course module id '333136'.,ws,78.141.159.87
"4/01/24, 16:34:41",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '12' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:22:29",022191755A,-,Assignment: Homework Assignment 3,Assignment,The status of the submission has been viewed.,The user with id '26942' has viewed the submission status page for the assignment with course module id '329712'.,ws,10.167.0.130
"4/01/24, 16:22:29",022191755A,-,Assignment: Homework Assignment 3,Assignment,Course module viewed,The user with id '26942' viewed the 'assign' activity with course module id '329712'.,ws,10.167.0.130
"4/01/24, 16:22:29",022191755A,-,Assignment: Homework Assignment 3,Assignment,Feedback viewed,The user with id '26942' viewed the feedback for the user with id '26942' for the assignment with course module id '329712'.,ws,10.167.0.130
"4/01/24, 16:22:28",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '9' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:22:27",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '8' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:22:26",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '7' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:22:25",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '6' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:22:20",022191755A,-,Assignment: Homework Assignment 2,Assignment,The status of the submission has been viewed.,The user with id '26942' has viewed the submission status page for the assignment with course module id '325124'.,ws,10.167.0.130
"4/01/24, 16:22:20",022191755A,-,Assignment: Homework Assignment 2,Assignment,Course module viewed,The user with id '26942' viewed the 'assign' activity with course module id '325124'.,ws,10.167.0.130
"4/01/24, 16:22:19",022191755A,-,Assignment: Homework Assignment 2,Assignment,Feedback viewed,The user with id '26942' viewed the feedback for the user with id '26942' for the assignment with course module id '325124'.,ws,10.167.0.130
"4/01/24, 16:22:18",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '5' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:22:18",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '4' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:20:32",0221390035,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26230' viewed the course with id '3330'.,web,10.167.1.111
"4/01/24, 16:20:29",0221390035,-,Assignment: Homework Assignment 3,Assignment,The status of the submission has been viewed.,The user with id '26230' has viewed the submission status page for the assignment with course module id '329712'.,web,10.167.1.111
"4/01/24, 16:20:29",0221390035,-,Assignment: Homework Assignment 3,Assignment,Feedback viewed,The user with id '26230' viewed the feedback for the user with id '26230' for the assignment with course module id '329712'.,web,10.167.1.111
"4/01/24, 16:20:29",0221390035,-,Assignment: Homework Assignment 3,Assignment,Course module viewed,The user with id '26230' viewed the 'assign' activity with course module id '329712'.,web,10.167.1.111
"4/01/24, 16:20:23",0221390035,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26230' viewed the course with id '3330'.,web,10.167.1.111
"4/01/24, 16:20:21",0221390035,-,Assignment: Homework Assignment 2,Assignment,The status of the submission has been viewed.,The user with id '26230' has viewed the submission status page for the assignment with course module id '325124'.,web,10.167.1.111
"4/01/24, 16:20:21",0221390035,-,Assignment: Homework Assignment 2,Assignment,Feedback viewed,The user with id '26230' viewed the feedback for the user with id '26230' for the assignment with course module id '325124'.,web,10.167.1.111
"4/01/24, 16:20:21",0221390035,-,Assignment: Homework Assignment 2,Assignment,Course module viewed,The user with id '26230' viewed the 'assign' activity with course module id '325124'.,web,10.167.1.111
"4/01/24, 16:20:15",0221390035,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26230' viewed the course with id '3330'.,web,10.167.1.111
"4/01/24, 16:20:13",0221390035,-,Assignment: Homework Assignment 1,Assignment,The status of the submission has been viewed.,The user with id '26230' has viewed the submission status page for the assignment with course module id '321684'.,web,10.167.1.111
"4/01/24, 16:20:13",0221390035,-,Assignment: Homework Assignment 1,Assignment,Feedback viewed,The user with id '26230' viewed the feedback for the user with id '26230' for the assignment with course module id '321684'.,web,10.167.1.111
"4/01/24, 16:20:13",0221390035,-,Assignment: Homework Assignment 1,Assignment,Course module viewed,The user with id '26230' viewed the 'assign' activity with course module id '321684'.,web,10.167.1.111
"4/01/24, 16:20:05",022191755A,-,Assignment: Homework Assignment 1,Assignment,The status of the submission has been viewed.,The user with id '26942' has viewed the submission status page for the assignment with course module id '321684'.,ws,10.167.0.130
"4/01/24, 16:20:05",022191755A,-,Assignment: Homework Assignment 1,Assignment,Course module viewed,The user with id '26942' viewed the 'assign' activity with course module id '321684'.,ws,10.167.0.130
"4/01/24, 16:20:05",022191755A,-,Assignment: Homework Assignment 1,Assignment,Feedback viewed,The user with id '26942' viewed the feedback for the user with id '26942' for the assignment with course module id '321684'.,ws,10.167.0.130
"4/01/24, 16:20:01",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '3' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:20:00",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '2' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:49",0221390035,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26230' viewed the course with id '3330'.,web,10.167.1.111
"4/01/24, 16:19:48",022191755A,-,File: Lecture - Week 1,File,Course module viewed,The user with id '26942' viewed the 'resource' activity with course module id '318151'.,ws,10.167.0.130
"4/01/24, 16:19:46",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '1' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:45",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:44",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '1' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:44",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '2' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:44",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '3' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:44",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '4' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:44",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '5' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:43",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '6' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:43",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '7' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:43",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '8' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:43",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '9' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:43",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '10' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:43",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '11' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:19:03",0221390035,-,Assignment: Homework Assignment 4,Assignment,The status of the submission has been viewed.,The user with id '26230' has viewed the submission status page for the assignment with course module id '333136'.,web,10.167.1.111
"4/01/24, 16:19:03",0221390035,-,Assignment: Homework Assignment 4,Assignment,Feedback viewed,The user with id '26230' viewed the feedback for the user with id '26230' for the assignment with course module id '333136'.,web,10.167.1.111
"4/01/24, 16:19:03",0221390035,-,Assignment: Homework Assignment 4,Assignment,Course module viewed,The user with id '26230' viewed the 'assign' activity with course module id '333136'.,web,10.167.1.111
"4/01/24, 16:18:59",0221390035,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26230' viewed the course with id '3330'.,web,10.167.1.111
"4/01/24, 16:18:55",0221390035,-,File: Homework 4 - Solution,File,Course module viewed,The user with id '26230' viewed the 'resource' activity with course module id '336286'.,web,10.167.1.111
"4/01/24, 16:18:42",0221390035,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26230' viewed the course with id '3330'.,web,10.167.1.111
"4/01/24, 16:18:33",022191755A,-,Assignment: Homework Assignment 4,Assignment,The status of the submission has been viewed.,The user with id '26942' has viewed the submission status page for the assignment with course module id '333136'.,ws,10.167.0.130
"4/01/24, 16:18:32",022191755A,-,Assignment: Homework Assignment 4,Assignment,Course module viewed,The user with id '26942' viewed the 'assign' activity with course module id '333136'.,ws,10.167.0.130
"4/01/24, 16:18:32",022191755A,-,Assignment: Homework Assignment 4,Assignment,Feedback viewed,The user with id '26942' viewed the feedback for the user with id '26942' for the assignment with course module id '333136'.,ws,10.167.0.130
"4/01/24, 16:18:30",022191755A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26942' viewed the section number '12' of the course with id '3330'.,ws,10.167.0.130
"4/01/24, 16:17:00",0221943339,-,File: Homework 4 - Solution,File,Course module viewed,The user with id '26694' viewed the 'resource' activity with course module id '336286'.,ws,158.64.70.129
"4/01/24, 16:16:58",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '14' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:53",0221943339,-,File: TP12 code,File,Course module viewed,The user with id '26694' viewed the 'resource' activity with course module id '335233'.,ws,158.64.70.129
"4/01/24, 16:16:51",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '13' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:51",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '12' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:50",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '11' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:50",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '10' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:50",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '9' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:50",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '8' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:50",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '7' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:49",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '6' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:49",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '5' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:49",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '4' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:48",0221943339,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26694' viewed the section number '3' of the course with id '3330'.,ws,158.64.70.129
"4/01/24, 16:16:41",0221705608,-,File: Homework 4 - Solution,File,Course module viewed,The user with id '27469' viewed the 'resource' activity with course module id '336286'.,web,185.6.233.158
"4/01/24, 16:16:37",0221705608,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27469' viewed the course with id '3330'.,web,185.6.233.158
"4/01/24, 15:54:03",022158614A,-,Assignment: Homework Assignment 1,Assignment,The status of the submission has been viewed.,The user with id '27431' has viewed the submission status page for the assignment with course module id '321684'.,ws,176.177.158.59
"4/01/24, 15:54:03",022158614A,-,Assignment: Homework Assignment 1,Assignment,Course module viewed,The user with id '27431' viewed the 'assign' activity with course module id '321684'.,ws,176.177.158.59
"4/01/24, 15:54:03",022158614A,-,Assignment: Homework Assignment 1,Assignment,Feedback viewed,The user with id '27431' viewed the feedback for the user with id '27431' for the assignment with course module id '321684'.,ws,176.177.158.59
"4/01/24, 15:54:01",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '3' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:54:01",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '4' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:53:59",022158614A,-,Assignment: Homework Assignment 2,Assignment,The status of the submission has been viewed.,The user with id '27431' has viewed the submission status page for the assignment with course module id '325124'.,ws,176.177.158.59
"4/01/24, 15:53:58",022158614A,-,Assignment: Homework Assignment 2,Assignment,Course module viewed,The user with id '27431' viewed the 'assign' activity with course module id '325124'.,ws,176.177.158.59
"4/01/24, 15:53:58",022158614A,-,Assignment: Homework Assignment 2,Assignment,Feedback viewed,The user with id '27431' viewed the feedback for the user with id '27431' for the assignment with course module id '325124'.,ws,176.177.158.59
"4/01/24, 15:53:57",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '5' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:53:56",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '6' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:53:56",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '7' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:53:55",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '8' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:53:52",022158614A,-,Assignment: Homework Assignment 3,Assignment,The status of the submission has been viewed.,The user with id '27431' has viewed the submission status page for the assignment with course module id '329712'.,ws,176.177.158.59
"4/01/24, 15:53:52",022158614A,-,Assignment: Homework Assignment 3,Assignment,Course module viewed,The user with id '27431' viewed the 'assign' activity with course module id '329712'.,ws,176.177.158.59
"4/01/24, 15:53:51",022158614A,-,Assignment: Homework Assignment 3,Assignment,Feedback viewed,The user with id '27431' viewed the feedback for the user with id '27431' for the assignment with course module id '329712'.,ws,176.177.158.59
"4/01/24, 15:53:50",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '9' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:53:49",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '10' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:53:48",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '11' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:30:20",022158614A,-,Assignment: Homework Assignment 4,Assignment,The status of the submission has been viewed.,The user with id '27431' has viewed the submission status page for the assignment with course module id '333136'.,ws,176.177.158.59
"4/01/24, 15:30:20",022158614A,-,Assignment: Homework Assignment 4,Assignment,Course module viewed,The user with id '27431' viewed the 'assign' activity with course module id '333136'.,ws,176.177.158.59
"4/01/24, 15:30:20",022158614A,-,Assignment: Homework Assignment 4,Assignment,Feedback viewed,The user with id '27431' viewed the feedback for the user with id '27431' for the assignment with course module id '333136'.,ws,176.177.158.59
"4/01/24, 15:30:18",022158614A,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '27431' viewed the section number '12' of the course with id '3330'.,ws,176.177.158.59
"4/01/24, 15:16:17",0230669412,-,Assignment: Homework Assignment 4,Assignment,The status of the submission has been viewed.,The user with id '32910' has viewed the submission status page for the assignment with course module id '333136'.,web,10.167.1.230
"4/01/24, 15:16:17",0230669412,-,Assignment: Homework Assignment 4,Assignment,Feedback viewed,The user with id '32910' viewed the feedback for the user with id '32910' for the assignment with course module id '333136'.,web,10.167.1.230
"4/01/24, 15:16:17",0230669412,-,Assignment: Homework Assignment 4,Assignment,Course module viewed,The user with id '32910' viewed the 'assign' activity with course module id '333136'.,web,10.167.1.230
"4/01/24, 15:16:11",0230669412,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '32910' viewed the course with id '3330'.,web,10.167.1.230
